Cidade,Estado,ID,Latitude,Longitude,Amazonia,População,População com acesso à água,População sem acesso à água,População com coleta de esgoto,População sem coleta de esgoto,Parcela da população sem acesso à água,Parcela da população com acesso à água,Parcela da população sem coleta de esgoto,Parcela da população com coleta de esgoto,Densidade demográfica,Área do município,Receita direta e indireta total,Parcela das moradias sem banheiro,Incidência de internações por diarreia,Taxa de óbitos por doenças de veiculação hídrica,Consumo per capita de água,Perdas na distribuição,Índice de esgoto tratado referido à água consumida,Tarifa de água,Custo com energia elétrica,Incidência de internações totais por doenças de veiculação hídrica,Moradias sem banheiro
Cruzeiro do Sul,Acre,120020,-7.6362478,-72.6691649,Sim,91888.0,46566.0,45322.0,0.0,91888.0,0.493,0.507,1.0,0.0,10.47,8779.403,5295069.28,0.1996,4.135,0.109,60,0.695,0,2.63,5221845.92,26.445,5337
Rio Branco,Acre,120040,-9.9765362,-67.8220778,Sim,364756.0,195152.0,169604.0,75383.0,289373.0,0.465,0.535,0.793,0.207,41.29,8834.942,49594663.94,0.0413,1.206,0.055,97.57,0.566,0.007,2.94,15725116.3,2.604,5116
Arapiraca,Alagoas,270030,-9.754866,-36.661471,Não,,,,,,,,,,,,,,,,,,,,,,
Barra de Santo Antônio,Alagoas,270050,-9.4038098,-35.5117693,Não,,,,,,,,,,,,,,,,,,,,,,
Barra de São Miguel,Alagoas,270060,-9.8261357,-35.8837777,Não,,,,,,,,,,,,,,,,,,,,,,
Campo Alegre,Alagoas,270140,-9.7798607,-36.3575793,Não,,,,,,,,,,,,,,,,,,,,,,
Coqueiro Seco,Alagoas,270220,-9.637147,-35.799377,Não,,,,,,,,,,,,,,,,,,,,,,
Coruripe,Alagoas,270230,-10.1249963,-36.1760623,Não,,,,,,,,,,,,,,,,,,,,,,
Delmiro Gouveia,Alagoas,270240,-9.3841161,-37.997756,Não,,,,,,,,,,,,,,,,,,,,,,
Maceió,Alagoas,270430,-9.6476843,-35.7339264,Não,,,,,,,,,,,,,,,,,,,,,,
Marechal Deodoro,Alagoas,270470,-9.709715,-35.896731,Não,,,,,,,,,,,,,,,,,,,,,,
Messias,Alagoas,270520,-9.393843,-35.839182,Não,,,,,,,,,,,,,,,,,,,,,,
Palmeira dos Índios,Alagoas,270630,-9.4076249,-36.6323616,Não,,,,,,,,,,,,,,,,,,,,,,
Paripueira,Alagoas,270644,-9.463133,-35.551977,Não,,,,,,,,,,,,,,,,,,,,,,
Penedo,Alagoas,270670,-10.2872341,-36.5819262,Não,,,,,,,,,,,,,,,,,,,,,,
Pilar,Alagoas,270690,-9.6016711,-35.9511275,Não,,,,,,,,,,,,,,,,,,,,,,
Rio Largo,Alagoas,270770,-9.477829,-35.839435,Não,,,,,,,,,,,,,,,,,,,,,,
Santa Luzia do Norte,Alagoas,270790,-9.6037,-35.823196,Não,,,,,,,,,,,,,,,,,,,,,,
São Miguel dos Campos,Alagoas,270860,-9.7831115,-36.0967804,Não,,,,,,,,,,,,,,,,,,,,,,
Satuba,Alagoas,270890,-9.569113,-35.822697,Não,,,,,,,,,,,,,,,,,,,,,,
União dos Palmares,Alagoas,270930,-9.1576807,-36.0342251,Não,,,,,,,,,,,,,,,,,,,,,,
Macapá,Amapá,160030,0.0401529,-51.0569588,Sim,442933.0,240857.0,202076.0,35660.0,407273.0,0.456,0.544,0.919,0.081,68.11,6503.458,58973856.06,0.0229,1.806,0,65.7,0.714,0.222,3.33,7663301.09,2.28,2828
Santana,Amapá,160060,-0.0307068,-51.1789666,Sim,107618.0,48518.0,59100.0,1415.0,106203.0,0.549,0.451,0.987,0.013,69.83,1541.224,9278073.05,0.0368,8.549,0.279,90.82,0.584,0,2.45,2220334.47,9.664,1060
Careiro da Várzea,Amazonas,130115,-3.197024,-59.8259104,Sim,19637.0,549.0,19088.0,0.0,19637.0,0.972,0.028,1.0,0.0,7.47,2627.474,309691.61,0.213,2.037,0,20.93,0.7,0,0.56,95088.35,2.037,1231
Coari,Amazonas,130120,-4.0885957,-63.1431166,Sim,70616.0,11246.0,59370.0,0.0,70616.0,0.841,0.159,1.0,0.0,1.22,57970.768,909202,0.183,12.32,0,15.7,0.111,0,2.35,126250,16.71,3215
Humaitá,Amazonas,130170,-7.5099404,-63.0248674,Sim,57473.0,57195.0,278.0,0.0,57473.0,0.005,0.995,1.0,0.0,1.74,33111.164,2760297.34,0.1383,5.22,0.522,106.1,0.682,0,1.24,1140000,13.92,1994
Iranduba,Amazonas,130185,-3.2758203,-60.1867429,Sim,61163.0,35610.0,25553.0,0.0,61163.0,0.418,0.582,1.0,0.0,27.59,2216.817,1578335.72,0.0632,9.483,0,69.88,0.096,0,3.42,1,10.954,1122
Itacoatiara,Amazonas,130190,-3.1477898,-58.4461041,Sim,103598.0,60856.0,42742.0,0.0,103598.0,0.413,0.587,1.0,0.0,11.65,8891.906,4985641.46,0.0775,6.081,0.193,333,0.245,0,1.49,14890.46,6.371,2143
Manacapuru,Amazonas,130250,-3.2996768,-60.6213528,Sim,101883.0,92000.0,9883.0,0.0,101883.0,0.097,0.903,1.0,0.0,13.89,7336.579,4917433.84,0.0885,20.612,0.196,43.03,0.048,0,2.56,,21.103,2379
Manaus,Amazonas,130260,-3.1316333,-59.9825041,Sim,2063689.0,2053105.0,10584.0,538324.0,1525365.0,0.005,0.995,0.739,0.261,181.01,11401.092,734739921.72,0.0091,6.968,0.126,133.84,0.554,0.218,6.49,75852325.68,8.092,5730
Manicoré,Amazonas,130270,-5.804618,-61.289483,Sim,53914.0,25804.0,28110.0,0.0,53914.0,0.521,0.479,1.0,0.0,1.12,48315.022,722235.35,0.276,13.169,0,204.18,0.193,0,0.12,475737.4,14.653,3359
Maués,Amazonas,130290,-3.3795798,-57.7196072,Sim,61204.0,30249.0,30955.0,12800.0,48404.0,0.506,0.494,0.791,0.209,1.53,39991.067,2506356.01,0.345,27.122,0.654,107,0.469,0,1.61,10450.77,27.613,4579
Novo Airão,Amazonas,130320,-2.6260236,-60.9434406,Sim,15761.0,15761.0,0.0,0.0,15761.0,0.0,1.0,1.0,0.0,0.42,37805.257,792555.8,0.1998,2.538,0,293.56,0.12,0,0.46,288696.88,11.421,832
Parintins,Amazonas,130340,-2.6344567,-56.7319324,Sim,96372.0,96000.0,372.0,0.0,96372.0,0.004,0.996,1.0,0.0,16.18,5956.373,8377623.61,0.1315,8.405,0,102.68,0.713,0,2.23,762438.32,9.028,3143
Presidente Figueiredo,Amazonas,130353,-2.0486359,-60.0236658,Sim,30668.0,17000.0,13668.0,5000.0,25668.0,0.446,0.554,0.837,0.163,1.21,25412.265,1250000,0.0753,3.261,0,160.89,0.142,0,0.72,120000,4.891,707
Rio Preto da Eva,Amazonas,130356,-2.6990647,-59.7012494,Sim,24936.0,21542.0,3394.0,0.0,24936.0,0.136,0.864,1.0,0.0,4.29,5815.622,2011641,0.0731,5.213,0,131.84,0.172,0,1.36,395421,6.015,571
Tabatinga,Amazonas,130406,-4.2327349,-69.9263372,Sim,66764.0,18840.0,47924.0,0.0,66764.0,0.718,0.282,1.0,0.0,20.44,3266.062,456691.2,0.2268,3.295,0,56.99,0.7,0,0.1,96841.43,6.74,3138
Tefé,Amazonas,130420,-3.3485276,-64.7102278,Sim,73669.0,60154.0,13515.0,0.0,73669.0,0.183,0.817,1.0,0.0,3.11,23692.223,1943104.53,0.1787,13.574,0,102.72,0.53,0,0.7,,15.067,3120
Alagoinhas,Bahia,290070,-12.133526,-38.420772,Não,,,,,,,,,,,,,,,,,,,,,,
Araci,Bahia,290210,-11.3390214,-38.9586849,Não,,,,,,,,,,,,,,,,,,,,,,
Barra,Bahia,290270,-11.0891794,-43.1414512,Não,,,,,,,,,,,,,,,,,,,,,,
Barreiras,Bahia,290320,-12.1440031,-44.9967406,Não,,,,,,,,,,,,,,,,,,,,,,
Bom Jesus da Lapa,Bahia,290390,-13.2498754,-43.4101019,Não,,,,,,,,,,,,,,,,,,,,,,
Brumado,Bahia,290460,-14.2025099,-41.6701307,Não,,,,,,,,,,,,,,,,,,,,,,
Caetité,Bahia,290520,-14.0691776,-42.4852428,Não,,,,,,,,,,,,,,,,,,,,,,
Camaçari,Bahia,290570,-12.6998188,-38.3260762,Não,,,,,,,,,,,,,,,,,,,,,,
Campo Formoso,Bahia,290600,-10.51055,-40.320031,Não,,,,,,,,,,,,,,,,,,,,,,
Candeias,Bahia,290650,-12.6693806,-38.5406462,Não,,,,,,,,,,,,,,,,,,,,,,
Casa Nova,Bahia,290720,-9.1736775,-40.9734475,Não,,,,,,,,,,,,,,,,,,,,,,
Catu,Bahia,290750,-12.351274,-38.379108,Não,,,,,,,,,,,,,,,,,,,,,,
