Cidade,Estado,ID,Latitude,Longitude,Amazonia,Parcela da população sem acesso à água,Parcela da população com acesso à água,População com acesso à água,População sem acesso à água,Parcela da população sem coleta de esgoto,Parcela da população com coleta de esgoto,População com coleta de esgoto,População sem coleta de esgoto,Parcela das moradias sem banheiro,Parcela das moradias com banheiro,Moradias com banheiro,Moradias sem banheiro,Percentagem da população branca sem acesso à água,Percentagem da população preta sem acesso à água,Percentagem da população amarela sem acesso à água,Percentagem da população parda sem acesso à água,Percentagem da população indígena sem acesso à água,Percentagem da população branca sem acesso à coleta de esgoto,Percentagem da população preta sem acesso à coleta de esgoto,Percentagem da população amarela sem acesso à coleta de esgoto,Percentagem da população parda sem acesso à coleta de esgoto,Percentagem da população indígena sem acesso à coleta de esgoto,Incidência de internações por diarreia,Internações por diarreia,Internações por doenças de veiculação hídrica,Incidência de internações totais por doenças de veiculação hídrica,Óbitos por doenças de veiculação hídrica,Taxa de óbitos por doenças de veiculação hídrica,Despesas com internações por doenças de veiculação hídrica,Internações por doenças respiratórias,Incidência de internações por doenças respiratórias,Óbitos por doenças respiratórias,Incidência de óbitos por doenças respiratórias,Consumo per capita de água,Índice de esgoto tratado referido à água consumida,Perdas na distribuição,Perdas no faturamento,Extensão da rede de água,Extensão da rede de esgoto,"Investimentos totais, em R$ de 2022","Investimentos per capita, em R$ de 2022",Despesas per capita com saneamento,Tarifa de água,Tarifa de coleta de esgoto,Densidade demográfica,Densidade domiciliar,População,Área do município
Cruzeiro do Sul,Acre,120020,-7.6362478,-72.6691649,Sim,0.493,0.507,46566,45322,1,0,0,91888,0.1996,0.8004,21400,5337,0.317,0.319,0.148,0.355,0.353,0.903,0.923,0.787,0.928,0.977,4.135,38,,26.445,1,0.109,92863.13,256,27.86,25,2.721,60,0,0.695,0.695,224.07,,500852.88,5.45,57.63,2.63,,10.47,3.44,91888,8779.403
Rio Branco,Acre,120040,-9.9765362,-67.8220778,Sim,0.465,0.535,195152,169604,0.793,0.207,75383,289373,0.0413,0.9587,118745,5116,0.381,0.41,0.377,0.424,0.384,0.264,0.344,0.287,0.346,0.393,1.206,44,,2.604,2,0.055,78658.82,744,20.397,124,3.4,97.57,0.007,0.566,0.566,1150.31,594.36,0,0,135.97,2.94,3.22,41.29,2.94,364756,8834.942
Arapiraca,Alagoas,270030,-9.754866,-36.661471,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barra de Santo Antônio,Alagoas,270050,-9.4038098,-35.5117693,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barra de São Miguel,Alagoas,270060,-9.8261357,-35.8837777,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campo Alegre,Alagoas,270140,-9.7798607,-36.3575793,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coqueiro Seco,Alagoas,270220,-9.637147,-35.799377,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coruripe,Alagoas,270230,-10.1249963,-36.1760623,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delmiro Gouveia,Alagoas,270240,-9.3841161,-37.997756,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maceió,Alagoas,270430,-9.6476843,-35.7339264,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
